path,category,extension,size,status,references,notes
enable-startup-simple.ps1,Code,.ps1,4560,needs verification,0,No references found - may be entry point
frontend/.lintstagedrc.json,Code,.json,128,needs verification,0,No references found - may be entry point
frontend/.prettierrc.json,Code,.json,270,needs verification,0,No references found - may be entry point
frontend/__tests__/services/telemetry.test.ts,Code,.ts,2211,needs verification,0,No references found - may be entry point
frontend/components/CompanyHeader.tsx,Code,.tsx,5449,needs verification,0,No references found - may be entry point
frontend/components/IndicatorPanel.tsx,Code,.tsx,9674,needs verification,0,No references found - may be entry point
frontend/components/MonitorDashboard.tsx,Code,.tsx,17462,needs verification,0,No references found - may be entry point
frontend/components/NewsArticleList.tsx,Code,.tsx,7713,needs verification,0,No references found - may be entry point
frontend/components/RadialMenuNav.tsx,Code,.tsx,1282,needs verification,0,No references found - may be entry point
frontend/components/StatusBar.tsx,Code,.tsx,3076,needs verification,0,No references found - may be entry point
frontend/components/UserProfileDropdown.tsx,Code,.tsx,7146,needs verification,0,No references found - may be entry point
frontend/components/WatchlistManager.tsx,Code,.tsx,26652,needs verification,0,No references found - may be entry point
frontend/components/WatchlistPanel.tsx,Code,.tsx,18764,needs verification,0,No references found - may be entry point
frontend/components/admin/PerformanceDashboard.tsx,Code,.tsx,6005,needs verification,0,No references found - may be entry point
frontend/components/auth/ProtectedRoute.tsx,Code,.tsx,3339,needs verification,0,No references found - may be entry point
frontend/fix-lint-errors.js,Code,.js,5977,needs verification,0,No references found - may be entry point
frontend/fix-remaining-errors.js,Code,.js,4856,needs verification,0,No references found - may be entry point
frontend/hooks/useSWR.ts,Code,.ts,6350,needs verification,0,No references found - may be entry point
frontend/jest.setup.js,Code,.js,574,needs verification,0,No references found - may be entry point
frontend/lib/apiClient.ts,Code,.ts,5751,needs verification,0,No references found - may be entry point
frontend/next.config.js,Code,.js,2556,needs verification,0,No references found - may be entry point
frontend/package-lock.json,Code,.json,594748,needs verification,0,No references found - may be entry point
frontend/pages/_document.tsx,Code,.tsx,546,needs verification,0,No references found - may be entry point
frontend/playwright.config.ts,Code,.ts,2194,needs verification,0,No references found - may be entry point
frontend/tests/market-data.spec.ts,Code,.ts,4428,needs verification,0,No references found - may be entry point
frontend/tests/options-chain.spec.ts,Code,.ts,10467,needs verification,0,No references found - may be entry point
frontend/types/OptionsContract.ts,Code,.ts,328,needs verification,0,No references found - may be entry point
frontend/types/lightweight-charts.d.ts,Code,.ts,276,needs verification,0,No references found - may be entry point
health-check.sh,Code,.sh,4969,needs verification,0,No references found - may be entry point
install-dual-ai-extensions.ps1,Code,.ps1,10649,needs verification,0,No references found - may be entry point
install-extensions-simple.ps1,Code,.ps1,1859,needs verification,0,No references found - may be entry point
install-git-hooks.sh,Code,.sh,1596,needs verification,0,No references found - may be entry point
list-chrome-extensions.ps1,Code,.ps1,297,needs verification,0,No references found - may be entry point
logo-replacement.sh,Code,.sh,3569,needs verification,0,No references found - may be entry point
make-dual-ai-global.ps1,Code,.ps1,4510,needs verification,0,No references found - may be entry point
monitor-production.sh,Code,.sh,1465,needs verification,0,No references found - may be entry point
open-chrome.ps1,Code,.ps1,1191,needs verification,0,No references found - may be entry point
package-lock.json,Code,.json,668,needs verification,0,No references found - may be entry point
pre-commit-hook.sh,Code,.sh,8213,needs verification,0,No references found - may be entry point
repair-powershell-deployment.ps1,Code,.ps1,13824,needs verification,0,No references found - may be entry point
rollback-production.ps1,Code,.ps1,12781,needs verification,0,No references found - may be entry point
setup-dev-tools.ps1,Code,.ps1,5888,needs verification,0,No references found - may be entry point
start-chrome-dev.ps1,Code,.ps1,2626,needs verification,0,No references found - may be entry point
start-dev.ps1,Code,.ps1,6305,needs verification,0,No references found - may be entry point
test-all-connections.sh,Code,.sh,14399,needs verification,0,No references found - may be entry point
test-deployment.ps1,Code,.ps1,4741,needs verification,0,No references found - may be entry point
test-deployment.sh,Code,.sh,1460,needs verification,0,No references found - may be entry point
test-duplicate-proxy.ps1,Code,.ps1,2769,needs verification,0,No references found - may be entry point
test-duplicate.ps1,Code,.ps1,2585,needs verification,0,No references found - may be entry point
test-production.ps1,Code,.ps1,16765,needs verification,0,No references found - may be entry point
test-proxy-flow.ps1,Code,.ps1,5420,needs verification,0,No references found - may be entry point
test_options_endpoint.py,Code,.py,1859,needs verification,0,No references found - may be entry point
test_phase1.py,Code,.py,4978,needs verification,0,No references found - may be entry point
API_DOCUMENTATION.md,Documentation,.md,24522,needs verification,0,
API_KEY_GUIDE.md,Documentation,.md,9373,needs verification,0,
ARCHITECTURE_CLEAN.md,Documentation,.md,9053,needs verification,0,
AUDIT_CHECKLIST_DETAILED.md,Documentation,.md,34988,needs verification,0,
AUDIT_PRIORITY_MATRIX.md,Documentation,.md,13261,needs verification,0,
AUTOMATED_WORKFLOW_GUIDE.md,Documentation,.md,15177,needs verification,0,
CHATGPT_FIX_PROMPT.md,Documentation,.md,1117,needs verification,0,
CHATGPT_LOCATION_AND_TEST.md,Documentation,.md,13620,needs verification,0,
CHATGPT_TEST_PROMPT.md,Documentation,.md,6699,needs verification,0,
CHROME_EXTENSIONS_GUIDE.md,Documentation,.md,3990,needs verification,0,
CHROME_TEST_SCRIPTS.md,Documentation,.md,13054,needs verification,0,
CLAUDE_PROTOCOL.md,Documentation,.md,5206,needs verification,0,
COMPONENT_ARCHITECTURE.md,Documentation,.md,22755,needs verification,0,
COMPREHENSIVE_AUDIT_PLAN.md,Documentation,.md,20483,needs verification,0,
CONNECTION_VERIFIED.md,Documentation,.md,5768,needs verification,0,
CONNECTIVITY_TEST_RESULTS.md,Documentation,.md,11708,needs verification,0,
CONTRIBUTING.md,Documentation,.md,15483,needs verification,0,
CRITICAL_NEXT_STEP.md,Documentation,.md,6935,needs verification,0,
CURSOR_MIGRATION_GUIDE.md,Documentation,.md,9570,needs verification,0,
DATA_SOURCES.md,Documentation,.md,4661,needs verification,0,
DEBUGGING_SETUP.md,Documentation,.md,11766,needs verification,0,
DEPLOY_INSTRUCTIONS.md,Documentation,.md,6413,needs verification,0,
DEPLOY_RUNBOOK.md,Documentation,.md,3684,needs verification,0,
DEVELOPER_SETUP.md,Documentation,.md,21297,needs verification,0,
DUAL_AI_EXTENSIONS_GUIDE.md,Documentation,.md,15935,needs verification,0,
DUAL_AI_MONITORING_WORKFLOW.md,Documentation,.md,13269,needs verification,0,
EXECUTE_DEPLOY_NOW.md,Documentation,.md,12626,needs verification,0,
FORCE_CLEAN_REBUILD_INSTRUCTIONS.md,Documentation,.md,7497,needs verification,0,
FULL_CHECKLIST.md,Documentation,.md,82196,needs verification,0,
GITHUB_MONITOR_PLAN.md,Documentation,.md,44337,needs verification,0,
GITHUB_PAGES_UPDATE.md,Documentation,.md,1945,needs verification,0,
GIT_HISTORY_BEFORE_RESET.txt,Documentation,.txt,97,needs verification,0,
HOW_TO_EXECUTE_CHATGPT_SOLUTIONS.md,Documentation,.md,13735,needs verification,0,
JWT_MIGRATION_PROGRESS.md,Documentation,.md,7743,needs verification,0,
KNOWN_ISSUES.md,Documentation,.md,2743,needs verification,0,
LAUNCH_READINESS.md,Documentation,.md,19013,needs verification,0,
LOGO_ABSOLUTE_PROTECTION.md,Documentation,.md,4035,needs verification,0,
MANUAL_DEPLOYMENT_REQUIRED.txt,Documentation,.txt,1087,needs verification,0,
MASTER_SURGEON_INSPECTION.md,Documentation,.md,19107,needs verification,0,
MOBILE_ENHANCEMENT_PLAN.md,Documentation,.md,6369,needs verification,0,
MOBILE_TESTING_CHECKLIST.md,Documentation,.md,14156,needs verification,0,
MONITOR_IMPLEMENTATION_LOG.md,Documentation,.md,11184,needs verification,0,
NEW_API_TOKEN_GENERATED.md,Documentation,.md,4853,needs verification,0,
ONBOARDING_CHANGES.md,Documentation,.md,5974,needs verification,0,
OPS-QUICK-CARD.txt,Documentation,.txt,6557,needs verification,0,
OPS_CARD.md,Documentation,.md,10846,needs verification,0,
OSCAR_EXCELLENCE_PLAN.md,Documentation,.md,16471,needs verification,0,
PAIID_APP_STATE.md,Documentation,.md,8748,needs verification,0,
PAIID_MIGRATION_STAGES.md,Documentation,.md,26600,needs verification,0,
PHASE1_PRODUCTION_READY.md,Documentation,.md,5083,needs verification,0,
PHASE_2.5_AUTH_INTEGRATION_PLAN.md,Documentation,.md,9730,needs verification,0,
PHASE_2.5_USER_ACTIONS.md,Documentation,.md,6412,needs verification,0,
PRELAUNCH_VALIDATION_GUIDE.md,Documentation,.md,14196,needs verification,0,
PRODUCTION_SMOKE_TEST.md,Documentation,.md,5430,needs verification,0,
PROXY_TROUBLESHOOTING.md,Documentation,.md,6129,needs verification,0,
PaiiD_IMPLEMENTATION.md,Documentation,.md,19864,needs verification,0,
QE_ACCEPTANCE_CHECKLIST.md,Documentation,.md,11107,needs verification,0,
QUICK_DEPLOY_REFERENCE.md,Documentation,.md,3098,needs verification,0,
QUICK_FIXES.md,Documentation,.md,21321,needs verification,0,
QUICK_REFERENCE_AUTOMATED_WORKFLOW.md,Documentation,.md,5604,needs verification,0,
QUICK_START.md,Documentation,.md,5575,needs verification,0,
RADIAL_MENU_FIXES_DEPLOYED.md,Documentation,.md,9501,needs verification,0,
README.md,Documentation,.md,9776,needs verification,0,
READY_TO_DEPLOY.md,Documentation,.md,5322,needs verification,0,
REAL_ROOT_CAUSE_OCTOBER_12.md,Documentation,.md,3082,needs verification,0,
RENDER_SETUP_GUIDE.md,Documentation,.md,4254,needs verification,0,
ROADMAP.md,Documentation,.md,31203,needs verification,0,
SECURITY_SETUP.md,Documentation,.md,8141,needs verification,0,
SENTRY_SETUP_GUIDE.md,Documentation,.md,7165,needs verification,0,
SMOKING_GUN_FINAL_FIX.md,Documentation,.md,9597,needs verification,0,
SONARCLOUD_SETUP.md,Documentation,.md,7354,needs verification,0,
TASK_ASSIGNMENT_WORKFLOW.md,Documentation,.md,14960,needs verification,0,
TASK_TEMPLATE.md,Documentation,.md,2873,needs verification,0,
TEST_RESULTS.md,Documentation,.md,2816,needs verification,0,
TRADIER_FIX_INSTRUCTIONS.md,Documentation,.md,7167,needs verification,0,
TRADIER_INTEGRATION_DEPLOYED.md,Documentation,.md,11659,needs verification,0,
TRADING_ARCHITECTURE_GUIDE.md,Documentation,.md,38998,needs verification,0,
VERCEL_DECOMMISSIONED.md,Documentation,.md,9182,needs verification,0,
VSCODE_INTEGRATION_GUIDE.md,Documentation,.md,19114,needs verification,0,
WARNINGS_CLEANUP_PLAN.md,Documentation,.md,5818,needs verification,0,
WORKFLOW_AUDIT_RESULTS.md,Documentation,.md,17098,needs verification,0,
backend/ACTIVEPOSITIONS_AI_ENDPOINT.md,Documentation,.md,12113,needs verification,0,
backend/DATABASE_SETUP.md,Documentation,.md,754,needs verification,0,
backend/FORCE_REBUILD_TRADIER.txt,Documentation,.txt,568,needs verification,0,
backend/JWT_PRODUCTION_SETUP.md,Documentation,.md,2512,needs verification,0,
backend/README_BACKEND.md,Documentation,.md,1420,needs verification,0,
backend/REDIS_SETUP.md,Documentation,.md,5961,needs verification,0,
backend/RENDER_ENV_TEMPLATE.txt,Documentation,.txt,3212,needs verification,0,
backend/SENTRY_SETUP.md,Documentation,.md,8319,needs verification,0,
backend/TRADIER_STREAMING_TODO.md,Documentation,.md,13198,needs verification,0,
backend/docs/README.md,Documentation,.md,3067,needs verification,0,
backend/docs/STREAMING_ARCHITECTURE.md,Documentation,.md,28299,needs verification,0,
backend/docs/TRADIER_IMPLEMENTATION.md,Documentation,.md,29616,needs verification,0,
frontend/README_FRONTEND.md,Documentation,.md,1111,needs verification,0,
frontend/components/USERSETUPAI_UPDATE_INSTRUCTIONS.md,Documentation,.md,5935,needs verification,0,
frontend/lint-output.txt,Documentation,.txt,39550,needs verification,0,
logo-audit.txt,Documentation,.txt,4277,needs verification,0,
.cursorignore,Other,,515,needs verification,0,
.cursorrules,Other,,4495,needs verification,0,
.cursorrules-checks,Other,,10335,needs verification,0,
.editorconfig,Other,,461,needs verification,0,
.env.example,Other,.example,1568,needs verification,3,
.gitignore,Other,,2540,needs verification,0,
.prettierrc,Other,,267,needs verification,0,
api-tests.http,Other,.http,781,needs verification,0,
backend/.bandit,Other,,142,needs verification,0,
backend/.deployment-marker,Other,,54,needs verification,0,
backend/.env,Other,,1533,needs verification,4,
backend/.gitignore,Other,,871,needs verification,0,
backend/.logs/.gitkeep,Other,,150,needs verification,0,
backend/.ruff_cache/.gitignore,Other,,35,needs verification,0,
backend/.ruff_cache/0.14.1/13411017444273498385,Other,,411,needs verification,0,
backend/.ruff_cache/CACHEDIR.TAG,Other,.TAG,43,needs verification,0,
backend/.run/.gitkeep,Other,,191,needs verification,0,
backend/Dockerfile,Other,,783,needs verification,2,
backend/Procfile,Other,,61,needs verification,0,
backend/alembic.ini,Other,.ini,4954,needs verification,1,
backend/alembic/README,Other,,38,needs verification,0,
backend/alembic/script.py.mako,Other,.mako,732,needs verification,0,
backend/backend.log,Other,.log,1082024,needs verification,2,
backend/pyproject.toml,Other,.toml,3532,needs verification,0,
backend/sonar-project.properties,Other,.properties,1560,needs verification,0,
backend/telemetry_events.jsonl,Other,.jsonl,106622,needs verification,2,
frontend/.deployment-trigger,Other,,106,needs verification,0,
frontend/.env.local,Other,.local,700,needs verification,2,
frontend/.eslintignore,Other,,175,needs verification,0,
frontend/.gitignore,Other,,503,needs verification,0,
frontend/.husky/commit-msg,Other,,90,needs verification,0,
frontend/.husky/pre-commit,Other,,10,needs verification,0,
frontend/.logs/.gitkeep,Other,,150,needs verification,0,
frontend/.prettierignore,Other,,111,needs verification,0,
frontend/.run/.gitkeep,Other,,192,needs verification,0,
frontend/Dockerfile,Other,,2140,needs verification,2,
frontend/public/favicon.ico,Other,.ico,11,needs verification,2,
frontend/public/radial-ui.html,Other,.html,8613,needs verification,2,
frontend/public/test-endpoints.html,Other,.html,10022,needs verification,0,
frontend/sonar-project.properties,Other,.properties,1358,needs verification,0,
frontend/styles/globals.css,Other,.css,1188,needs verification,2,
frontend/tsconfig.tsbuildinfo,Other,.tsbuildinfo,196015,needs verification,1,
powershell-repair-20251023-155629.log,Other,.log,932,needs verification,0,Matches redundancy pattern
sonar-project.properties,Other,.properties,1413,needs verification,0,
test-svg.svg,Other,.svg,189,needs verification,0,
.eslintrc.json,Code,.json,634,current,1,
backend/alembic/env.py,Code,.py,2492,current,6,
backend/app/__init__.py,Code,.py,0,current,2,
backend/app/core/__init__.py,Code,.py,0,current,2,
backend/app/core/auth.py,Code,.py,3508,current,6,
backend/app/core/config.py,Code,.py,2339,current,6,
backend/app/core/idempotency.py,Code,.py,1606,current,2,
backend/app/core/jwt.py,Code,.py,7781,current,3,
backend/app/core/kill_switch.py,Code,.py,224,current,2,
backend/app/core/prelaunch.py,Code,.py,15565,current,3,
backend/app/core/signals.py,Code,.py,5390,current,3,
backend/app/core/startup_monitor.py,Code,.py,5223,current,3,
backend/app/core/store.py,Code,.py,1710,current,6,
backend/app/core/unified_auth.py,Code,.py,7574,current,2,
backend/app/db/__init__.py,Code,.py,20,current,2,
backend/app/db/session.py,Code,.py,1693,current,6,
backend/app/main.py,Code,.py,15747,current,6,
backend/app/middleware/__init__.py,Code,.py,358,current,2,
backend/app/middleware/cache_control.py,Code,.py,2465,current,2,
backend/app/middleware/kill_switch.py,Code,.py,881,current,2,
backend/app/middleware/metrics.py,Code,.py,815,current,5,
backend/app/middleware/rate_limit.py,Code,.py,3104,current,3,
backend/app/middleware/request_id.py,Code,.py,925,current,2,
backend/app/middleware/security_headers.py,Code,.py,1387,current,2,
backend/app/middleware/sentry.py,Code,.py,4968,current,6,
backend/app/middleware/validation.py,Code,.py,6298,current,6,
backend/app/ml/__init__.py,Code,.py,680,current,2,
backend/app/ml/data_pipeline.py,Code,.py,10613,current,3,
backend/app/ml/feature_engineering.py,Code,.py,10004,current,2,
backend/app/ml/market_regime.py,Code,.py,14613,current,2,
backend/app/ml/sentiment_analyzer.py,Code,.py,8976,current,2,
backend/app/ml/strategy_selector.py,Code,.py,17711,current,3,
backend/app/models/__init__.py,Code,.py,476,current,2,
backend/app/models/database.py,Code,.py,14079,current,4,
backend/app/routers/__init__.py,Code,.py,0,current,2,
backend/app/routers/ai.py,Code,.py,87313,current,7,
backend/app/routers/analytics.py,Code,.py,17097,current,4,
backend/app/routers/auth.py,Code,.py,10023,current,6,
